
1643567762123 :: history :: {'symbol': 'NSE:SBIN-EQ', 'resolution': '10', 'date_format': '0', 'range_from': '1643427900', 'range_to': '1643428500', 'cont_flag': '1'} :: 1643567762492 :: {'s': 'no_data', 'candles': [], 'nextTime': 1643363700}

1643567778171 :: history :: {'symbol': 'NSE:SBIN-EQ', 'resolution': '10', 'date_format': '0', 'range_from': '1643341500', 'range_to': '1643342100', 'cont_flag': '1'} :: 1643567778480 :: {'s': 'ok', 'candles': [[1643341500, 534.0, 536.4, 529.5, 530.4, 2047883], [1643342100, 530.4, 533.6, 530.0, 531.45, 823063], [1643342700, 531.2, 532.85, 530.1, 532.0, 462746], [1643343300, 531.95, 532.8, 529.9, 532.8, 627342], [1643343900, 532.8, 532.95, 529.05, 529.7, 614927], [1643344500, 529.65, 529.65, 526.65, 526.9, 851785], [1643345100, 526.8, 528.6, 525.2, 528.0, 745011], [1643345700, 528.0, 529.9, 527.55, 528.6, 583520], [1643346300, 528.9, 529.0, 526.65, 528.6, 416273], [1643346900, 528.75, 530.3, 528.65, 529.9, 485939], [1643347500, 529.85, 531.0, 529.5, 530.45, 412204], [1643348100, 530.5, 530.7, 528.65, 530.45, 422749], [1643348700, 530.35, 530.6, 527.55, 529.85, 549841], [1643349300, 530.05, 530.85, 529.0, 529.0, 316285], [1643349900, 529.15, 530.95, 528.8, 530.4, 352185], [1643350500, 530.3, 533.7, 530.3, 533.05, 942871], [1643351100, 533.05, 535.25, 532.75, 535.0, 1353274], [1643351700, 535.0, 535.25, 533.5, 534.1, 611462], [1643352300, 534.1, 535.7, 533.6, 534.85, 948317], [1643352900, 534.85, 535.25, 532.8, 533.65, 501300], [1643353500, 533.6, 534.0, 530.85, 532.55, 535838], [1643354100, 532.55, 533.9, 532.35, 533.15, 298728], [1643354700, 533.15, 533.4, 532.25, 532.95, 293913], [1643355300, 533.0, 533.6, 531.5, 531.9, 604221], [1643355900, 531.9, 532.0, 530.15, 531.0, 485841], [1643356500, 531.05, 533.3, 530.95, 532.5, 410346], [1643357100, 532.35, 532.65, 529.4, 529.6, 562397], [1643357700, 529.75, 529.85, 527.0, 529.35, 863940], [1643358300, 529.3, 529.85, 525.95, 526.2, 721101], [1643358900, 526.2, 526.8, 524.0, 525.9, 874202], [1643359500, 525.8, 527.5, 522.8, 527.35, 745766], [1643360100, 527.4, 528.0, 524.45, 525.7, 488182], [1643360700, 525.8, 526.0, 523.9, 525.45, 353282], [1643361300, 525.3, 526.3, 523.55, 524.4, 458729], [1643361900, 524.45, 525.6, 522.0, 522.05, 824040], [1643362500, 522.05, 524.6, 521.4, 523.65, 796550], [1643363100, 523.65, 524.5, 523.0, 523.95, 949084], [1643363700, 524.0, 524.2, 523.0, 523.1, 281677]]}

1643567800494 :: history :: {'symbol': 'NSE:SBIN-EQ', 'resolution': '20', 'date_format': '0', 'range_from': '1643341500', 'range_to': '1643342100', 'cont_flag': '1'} :: 1643567800727 :: {'s': 'ok', 'candles': [[1643341500, 534.0, 536.4, 529.5, 531.45, 2870946], [1643342700, 531.2, 532.85, 529.9, 532.8, 1090088], [1643343900, 532.8, 532.95, 526.65, 526.9, 1466712], [1643345100, 526.8, 529.9, 525.2, 528.6, 1328531], [1643346300, 528.9, 530.3, 526.65, 529.9, 902212], [1643347500, 529.85, 531.0, 528.65, 530.45, 834953], [1643348700, 530.35, 530.85, 527.55, 529.0, 866126], [1643349900, 529.15, 533.7, 528.8, 533.05, 1295056], [1643351100, 533.05, 535.25, 532.75, 534.1, 1964736], [1643352300, 534.1, 535.7, 532.8, 533.65, 1449617], [1643353500, 533.6, 534.0, 530.85, 533.15, 834566], [1643354700, 533.15, 533.6, 531.5, 531.9, 898134], [1643355900, 531.9, 533.3, 530.15, 532.5, 896187], [1643357100, 532.35, 532.65, 527.0, 529.35, 1426337], [1643358300, 529.3, 529.85, 524.0, 525.9, 1595303], [1643359500, 525.8, 528.0, 522.8, 525.7, 1233948], [1643360700, 525.8, 526.3, 523.55, 524.4, 812011], [1643361900, 524.45, 525.6, 521.4, 523.65, 1620590], [1643363100, 523.65, 524.5, 523.0, 523.1, 1230761]]}

1643567904571 :: history :: {'symbol': 'NSE:SBIN-EQ', 'resolution': '20', 'date_format': '0', 'range_from': '1643341500', 'range_to': '1643342100', 'cont_flag': '1'} :: 1643567904766 :: {'s': 'ok', 'candles': [[1643341500, 534.0, 536.4, 529.5, 531.45, 2870946], [1643342700, 531.2, 532.85, 529.9, 532.8, 1090088], [1643343900, 532.8, 532.95, 526.65, 526.9, 1466712], [1643345100, 526.8, 529.9, 525.2, 528.6, 1328531], [1643346300, 528.9, 530.3, 526.65, 529.9, 902212], [1643347500, 529.85, 531.0, 528.65, 530.45, 834953], [1643348700, 530.35, 530.85, 527.55, 529.0, 866126], [1643349900, 529.15, 533.7, 528.8, 533.05, 1295056], [1643351100, 533.05, 535.25, 532.75, 534.1, 1964736], [1643352300, 534.1, 535.7, 532.8, 533.65, 1449617], [1643353500, 533.6, 534.0, 530.85, 533.15, 834566], [1643354700, 533.15, 533.6, 531.5, 531.9, 898134], [1643355900, 531.9, 533.3, 530.15, 532.5, 896187], [1643357100, 532.35, 532.65, 527.0, 529.35, 1426337], [1643358300, 529.3, 529.85, 524.0, 525.9, 1595303], [1643359500, 525.8, 528.0, 522.8, 525.7, 1233948], [1643360700, 525.8, 526.3, 523.55, 524.4, 812011], [1643361900, 524.45, 525.6, 521.4, 523.65, 1620590], [1643363100, 523.65, 524.5, 523.0, 523.1, 1230761]]}

1643567924254 :: history :: {'symbol': 'NSE:SBIN-EQ', 'resolution': '20', 'date_format': '0', 'range_from': '1643341500', 'range_to': '1643342100', 'cont_flag': '1'} :: 1643567924428 :: {'s': 'ok', 'candles': [[1643341500, 534.0, 536.4, 529.5, 531.45, 2870946], [1643342700, 531.2, 532.85, 529.9, 532.8, 1090088], [1643343900, 532.8, 532.95, 526.65, 526.9, 1466712], [1643345100, 526.8, 529.9, 525.2, 528.6, 1328531], [1643346300, 528.9, 530.3, 526.65, 529.9, 902212], [1643347500, 529.85, 531.0, 528.65, 530.45, 834953], [1643348700, 530.35, 530.85, 527.55, 529.0, 866126], [1643349900, 529.15, 533.7, 528.8, 533.05, 1295056], [1643351100, 533.05, 535.25, 532.75, 534.1, 1964736], [1643352300, 534.1, 535.7, 532.8, 533.65, 1449617], [1643353500, 533.6, 534.0, 530.85, 533.15, 834566], [1643354700, 533.15, 533.6, 531.5, 531.9, 898134], [1643355900, 531.9, 533.3, 530.15, 532.5, 896187], [1643357100, 532.35, 532.65, 527.0, 529.35, 1426337], [1643358300, 529.3, 529.85, 524.0, 525.9, 1595303], [1643359500, 525.8, 528.0, 522.8, 525.7, 1233948], [1643360700, 525.8, 526.3, 523.55, 524.4, 812011], [1643361900, 524.45, 525.6, 521.4, 523.65, 1620590], [1643363100, 523.65, 524.5, 523.0, 523.1, 1230761]]}

1643567990552 :: history :: {'symbol': 'NSE:SBIN-EQ', 'resolution': '20', 'date_format': '1', 'range_from': '2022-01-28', 'range_to': '2022-01-28', 'cont_flag': '1'} :: 1643567990788 :: {'s': 'ok', 'candles': [[1643341500, 534.0, 536.4, 529.5, 531.45, 2870946], [1643342700, 531.2, 532.85, 529.9, 532.8, 1090088], [1643343900, 532.8, 532.95, 526.65, 526.9, 1466712], [1643345100, 526.8, 529.9, 525.2, 528.6, 1328531], [1643346300, 528.9, 530.3, 526.65, 529.9, 902212], [1643347500, 529.85, 531.0, 528.65, 530.45, 834953], [1643348700, 530.35, 530.85, 527.55, 529.0, 866126], [1643349900, 529.15, 533.7, 528.8, 533.05, 1295056], [1643351100, 533.05, 535.25, 532.75, 534.1, 1964736], [1643352300, 534.1, 535.7, 532.8, 533.65, 1449617], [1643353500, 533.6, 534.0, 530.85, 533.15, 834566], [1643354700, 533.15, 533.6, 531.5, 531.9, 898134], [1643355900, 531.9, 533.3, 530.15, 532.5, 896187], [1643357100, 532.35, 532.65, 527.0, 529.35, 1426337], [1643358300, 529.3, 529.85, 524.0, 525.9, 1595303], [1643359500, 525.8, 528.0, 522.8, 525.7, 1233948], [1643360700, 525.8, 526.3, 523.55, 524.4, 812011], [1643361900, 524.45, 525.6, 521.4, 523.65, 1620590], [1643363100, 523.65, 524.5, 523.0, 523.1, 1230761]]}

1643568078390 :: history :: {'symbol': 'NSE:SBIN-EQ', 'resolution': '20', 'date_format': '1', 'range_from': '2022-01-28', 'range_to': '2022-01-28', 'cont_flag': '1'} :: 1643568078795 :: {'s': 'ok', 'candles': [[1643341500, 534.0, 536.4, 529.5, 531.45, 2870946], [1643342700, 531.2, 532.85, 529.9, 532.8, 1090088], [1643343900, 532.8, 532.95, 526.65, 526.9, 1466712], [1643345100, 526.8, 529.9, 525.2, 528.6, 1328531], [1643346300, 528.9, 530.3, 526.65, 529.9, 902212], [1643347500, 529.85, 531.0, 528.65, 530.45, 834953], [1643348700, 530.35, 530.85, 527.55, 529.0, 866126], [1643349900, 529.15, 533.7, 528.8, 533.05, 1295056], [1643351100, 533.05, 535.25, 532.75, 534.1, 1964736], [1643352300, 534.1, 535.7, 532.8, 533.65, 1449617], [1643353500, 533.6, 534.0, 530.85, 533.15, 834566], [1643354700, 533.15, 533.6, 531.5, 531.9, 898134], [1643355900, 531.9, 533.3, 530.15, 532.5, 896187], [1643357100, 532.35, 532.65, 527.0, 529.35, 1426337], [1643358300, 529.3, 529.85, 524.0, 525.9, 1595303], [1643359500, 525.8, 528.0, 522.8, 525.7, 1233948], [1643360700, 525.8, 526.3, 523.55, 524.4, 812011], [1643361900, 524.45, 525.6, 521.4, 523.65, 1620590], [1643363100, 523.65, 524.5, 523.0, 523.1, 1230761]]}

1643568167252 :: history :: {'symbol': 'NSE:SBIN-EQ', 'resolution': '20', 'date_format': '1', 'range_from': '2022-01-28', 'range_to': '2022-01-28', 'cont_flag': '1'} :: 1643568167457 :: {'s': 'ok', 'candles': [[1643341500, 534.0, 536.4, 529.5, 531.45, 2870946], [1643342700, 531.2, 532.85, 529.9, 532.8, 1090088], [1643343900, 532.8, 532.95, 526.65, 526.9, 1466712], [1643345100, 526.8, 529.9, 525.2, 528.6, 1328531], [1643346300, 528.9, 530.3, 526.65, 529.9, 902212], [1643347500, 529.85, 531.0, 528.65, 530.45, 834953], [1643348700, 530.35, 530.85, 527.55, 529.0, 866126], [1643349900, 529.15, 533.7, 528.8, 533.05, 1295056], [1643351100, 533.05, 535.25, 532.75, 534.1, 1964736], [1643352300, 534.1, 535.7, 532.8, 533.65, 1449617], [1643353500, 533.6, 534.0, 530.85, 533.15, 834566], [1643354700, 533.15, 533.6, 531.5, 531.9, 898134], [1643355900, 531.9, 533.3, 530.15, 532.5, 896187], [1643357100, 532.35, 532.65, 527.0, 529.35, 1426337], [1643358300, 529.3, 529.85, 524.0, 525.9, 1595303], [1643359500, 525.8, 528.0, 522.8, 525.7, 1233948], [1643360700, 525.8, 526.3, 523.55, 524.4, 812011], [1643361900, 524.45, 525.6, 521.4, 523.65, 1620590], [1643363100, 523.65, 524.5, 523.0, 523.1, 1230761]]}
