Date,Open,High,Low,Close,Volume
1643341500,534.0,536.4,529.5,531.45,2870946
1643342700,531.2,532.85,529.9,532.8,1090088
1643343900,532.8,532.95,526.65,526.9,1466712
1643345100,526.8,529.9,525.2,528.6,1328531
1643346300,528.9,530.3,526.65,529.9,902212
1643347500,529.85,531.0,528.65,530.45,834953
1643348700,530.35,530.85,527.55,529.0,866126
1643349900,529.15,533.7,528.8,533.05,1295056
1643351100,533.05,535.25,532.75,534.1,1964736
1643352300,534.1,535.7,532.8,533.65,1449617
1643353500,533.6,534.0,530.85,533.15,834566
1643354700,533.15,533.6,531.5,531.9,898134
1643355900,531.9,533.3,530.15,532.5,896187
1643357100,532.35,532.65,527.0,529.35,1426337
1643358300,529.3,529.85,524.0,525.9,1595303
1643359500,525.8,528.0,522.8,525.7,1233948
1643360700,525.8,526.3,523.55,524.4,812011
1643361900,524.45,525.6,521.4,523.65,1620590
1643363100,523.65,524.5,523.0,523.1,1230761
